Lambda;BDP;Seeds;TotalAdoption_mean;TotalAdoption_sd;AutoRatio_mean;AutoRatio_sd;HybridRatio_mean;HybridRatio_sd;PrivateGrossInvestmentToGdp_mean;PrivateGrossInvestmentToGdp_sd;Inflation_mean;Inflation_sd;RefRate_mean;RefRate_sd;MarketWage_mean;MarketWage_sd;Unemployment_mean;Unemployment_sd;DebtToGdp_mean;DebtToGdp_sd;DeficitToGdp_mean;DeficitToGdp_sd
0.25;2500.0;10.0;0.0949;0.004126607430915727;0.03905;0.00244460858034801;0.05585;0.0032380549717384356;0.09714;0.00239545866635645;0.03544;0.018385815788868935;0.03458;0.009446669019054046;10565.5734;0.0;0.06742000000000001;0.006298289009282159;1.02273;0.03768153246470859;0.15652;0.006953144772131689
0.25;3000.0;10.0;0.09772;0.0033542013455764245;0.04095;0.0013778001790293595;0.05677;0.002565172725395135;0.09665;0.0025131874405048098;0.03689;0.017700122410122858;0.034659999999999996;0.009451419646451707;10568.05264;0.6734867204830095;0.06811;0.0026036086068719675;1.08007;0.0362822592093344;0.17516;0.00780002848997646
0.5;0.0;10.0;0.0897;0.0032090150790823296;0.03625;0.0017277152543170996;0.05345;0.002692479237514089;0.09899;0.002881531228743188;0.02904;0.017143460042308326;0.03083;0.007221426451886082;10565.5734;0.0;0.07401;0.016975436502324304;0.6934400000000001;0.046467245333556055;0.0769;0.014007220360307833
0.5;500.0;10.0;0.0936;0.004098238103814315;0.03771;0.0032436091009861237;0.05589;0.0018150298436481235;0.0973;0.0023390406390465103;0.03053;0.017300998686652618;0.03229;0.007433624807439355;10565.5734;0.0;0.06588;0.005131558134610665;0.75907;0.04066852591378252;0.09191;0.008349244809495579
0.5;1000.0;10.0;0.09602;0.004526416291553887;0.04027;0.0017493173271625443;0.05575;0.003361629895683871;0.09733;0.0016746807324250082;0.03262;0.017643746137874967;0.032780000000000004;0.008042360073731812;10565.5734;0.0;0.06715;0.007524515488277853;0.82864;0.0415805029096838;0.10941000000000001;0.00783658797635241
0.5;1500.0;10.0;0.09876;0.00323838093977702;0.04128;0.001556206213127867;0.05748;0.002640622822155579;0.09483;0.0025712297101235884;0.03398;0.018210119286936163;0.03387;0.008654870176829794;10568.05264;0.6734867204830095;0.06329;0.0019209083499451213;0.89645;0.040853484823478906;0.12476999999999999;0.00770512816246427
0.5;2000.0;10.0;0.10187;0.00748450992977422;0.04552;0.0039787770315345234;0.05635;0.003953409217933863;0.08384;0.006679354592906248;0.03334;0.018275071059293376;0.03352;0.008589373279426929;10619.40255;56.98478895251574;0.06675;0.003284052374734607;0.97115;0.04072810250101682;0.14204;0.007256139163188342
0.5;2500.0;10.0;0.08417;0.004280719046556962;0.03762;0.0033878213254735457;0.04655;0.0018349992431121662;0.07428;0.0014156270695349126;0.03355;0.018845644943416857;0.033;0.008324128249319033;10900.30068;90.72270473656121;0.06832;0.005299853247444163;1.03004;0.03334333849845009;0.15446;0.0060327255679152
0.5;3000.0;10.0;0.08202999999999999;0.0026779137817006388;0.03652;0.0016382917933017917;0.04551;0.0022387744663344526;0.07439;0.003973928926278263;0.03687;0.02009361700750874;0.03443;0.010074616066574888;11327.10904;125.37902358018475;0.07068;0.008041669257339824;1.06729;0.029399109963852105;0.1655;0.005590070562067073
0.75;0.0;10.0;0.0897;0.0032090150790823296;0.03625;0.0017277152543170996;0.05345;0.002692479237514089;0.09899;0.002881531228743188;0.02904;0.017143460042308326;0.03083;0.007221426451886082;10565.5734;0.0;0.07401;0.016975436502324304;0.6934400000000001;0.046467245333556055;0.0769;0.014007220360307833
0.75;500.0;10.0;0.09343;0.003266683673425116;0.037970000000000004;0.0022489750752040113;0.05546;0.00307614477335945;0.09739;0.0023340237073917365;0.0308;0.017619496776771652;0.03236;0.007304214917125287;10565.5734;0.0;0.06432;0.0041011651460963585;0.75924;0.038744123568757;0.09081;0.008023223237023331
0.75;1000.0;10.0;0.10062;0.0035614603746216235;0.04247;0.002168998744940982;0.05815;0.002467229665479528;0.09527000000000001;0.0021995201496892184;0.03285;0.01755443913468423;0.03314;0.00820219482821519;10568.05264;0.6734867204830095;0.06507;0.0035462186433815207;0.8271;0.039856297425180424;0.10781;0.007780095686358165
