BDP;Month;Seeds;TotalAdoption_mean;TotalAdoption_sd;PrivateGrossInvestmentToGdp_mean;PrivateGrossInvestmentToGdp_sd;FirmBirths_mean;FirmBirths_sd;FirmDeaths_mean;FirmDeaths_sd;NetEntry_mean;NetEntry_sd;LivingFirmCount_mean;LivingFirmCount_sd
0.0;60.0;10.0;0.0897;0.0032090150790823296;0.09899;0.002881531228743188;98.3;17.632356620712955;83.6;16.39241016785241;14.7;7.703534542302283;10964.9;158.53947983599122
500.0;1.0;10.0;0.04467;0.0019038265560590208;0.11436;0.005293643987525671;0.2;0.4216370213557839;0.2;0.4216370213557839;0.0;0.0;10000.0;0.0
500.0;2.0;10.0;0.045219999999999996;0.0018819611520373579;0.12505;0.004667678461743293;32.0;11.990737165736633;3.2;1.7511900715418263;28.8;13.045220495559965;10028.8;13.045220495559965
500.0;3.0;10.0;0.0455;0.0018098495947330975;0.12739;0.0036912659677195347;15.1;1.1005049346146119;1.3;1.0593499054713802;13.8;1.1352924243950935;10042.6;13.048627003124377
500.0;4.0;10.0;0.04604;0.0018482424083436678;0.12922;0.0033239200418247786;18.1;1.1005049346146119;3.1;1.5238839267549948;15.0;2.1081851067789197;10057.6;12.790621564255586
500.0;5.0;10.0;0.04678;0.0019303425142244124;0.13094;0.003655498142068554;19.6;1.0749676997731399;2.0;2.0;17.6;1.837873166945363;10075.2;11.85842410365822
500.0;6.0;10.0;0.04735;0.0021125287637752486;0.13212;0.0029385559567772592;20.6;1.0749676997731399;1.6;0.9660917830792959;19.0;1.1547005383792515;10094.2;11.99814800523629
500.0;7.0;10.0;0.04801;0.00218400752949455;0.13258999999999999;0.002912597160992612;28.8;3.2591750830880843;24.1;9.456919865015951;4.7;6.750308634919345;10098.9;6.756889488185784
500.0;8.0;10.0;0.04863;0.002252430785716721;0.13283;0.0026081283199515626;30.2;2.2997584414213788;11.9;2.024845673131659;18.3;2.3118054512532935;10117.2;8.107609594284455
500.0;9.0;10.0;0.04919;0.0022328108841647206;0.13219;0.0023263944444378106;31.9;2.2335820757001272;12.4;2.3664319132398464;19.5;2.4608038433722332;10136.7;8.743886753358346
500.0;10.0;10.0;0.0498;0.0023026554718894054;0.13178;0.002565497569240279;34.3;2.0027758514399734;15.6;2.716206504995115;18.7;2.1628170930011112;10155.4;9.082339395160748
500.0;11.0;10.0;0.05029;0.002341153561815201;0.13086;0.0023358082113050333;36.5;2.718251071716682;17.1;3.634709219609061;19.4;3.5023801430836525;10174.8;10.464755664185912
500.0;12.0;10.0;0.05098;0.0024017586149412355;0.12965;0.002523775830862248;39.2;2.2997584414213788;21.5;3.5978388574871505;17.7;4.083843505544474;10192.5;12.313046378175919
500.0;13.0;10.0;0.05167;0.002266200932544744;0.12852;0.002565497569240274;39.2;2.6997942308422114;24.6;5.3374983736661585;14.6;3.893013685508382;10207.1;12.71438380557845
500.0;14.0;10.0;0.05239;0.002124173041706139;0.12761;0.0027363601127531898;41.9;2.4244128727957577;26.3;4.001388647846034;15.6;3.777124126457412;10222.7;15.839823231336895
500.0;15.0;10.0;0.05303;0.002276473881539899;0.12697;0.0025364235538341082;44.4;3.1340424729448424;27.7;4.9899899799498595;16.7;3.3015148038438356;10239.4;16.94566480122735
500.0;16.0;10.0;0.05382;0.0023279938907899986;0.12698;0.0026402020124730377;47.0;3.2317865716108862;30.0;2.309401076758503;17.0;2.0;10256.4;18.422208819188263
500.0;17.0;10.0;0.05456;0.002332952349849148;0.12645;0.0025268557536986544;50.1;3.725288952252936;35.0;5.849976258261415;15.1;4.383048152953731;10271.5;21.224985276791124
500.0;18.0;10.0;0.05527;0.002278425382193199;0.12628;0.002066021404643341;51.8;3.521363372331802;33.9;5.3218626647276635;17.9;4.532597979574677;10289.4;23.63236951490241
500.0;19.0;10.0;0.05595;0.0022672793289657874;0.12647;0.0023842306003311747;52.0;3.681787005729087;32.1;4.954235000930461;19.9;3.784471194529326;10309.3;26.268062568661417
500.0;20.0;10.0;0.05653;0.0022241352876517604;0.12711;0.001954737834084149;53.3;3.3349995835415367;36.5;4.6963342678684565;16.8;4.1041983924323695;10326.1;28.544117899607034
500.0;21.0;10.0;0.0572;0.0021343747458109495;0.12736;0.0024739532017490676;53.5;3.3416562759605704;34.4;5.621387729022079;19.1;3.5103022978402048;10345.2;29.44976891061947
500.0;22.0;10.0;0.058;0.002064515008960269;0.12759;0.002217330727599185;54.9;4.840798832148815;39.8;7.29992389610254;15.1;3.478505426185217;10360.3;28.008133739247167
500.0;23.0;10.0;0.05873;0.0020992326640412624;0.1273;0.002044504830026087;56.0;4.83045891539648;39.7;7.0561242115547325;16.3;5.437523946307424;10376.6;32.476316156718134
500.0;24.0;10.0;0.05966;0.00219959592248718;0.12727;0.0023953890892481084;57.4;5.316640543300503;41.7;6.929005059249929;15.7;3.945461527713414;10392.3;33.24003610106343
500.0;25.0;10.0;0.06047;0.002087023398686909;0.12434;0.002323407459362696;55.6;5.460972644339305;42.3;7.273238618387272;13.3;4.47337804249888;10405.6;35.07198945660831
500.0;26.0;10.0;0.06144;0.002285801585634431;0.12204;0.0027801678606395944;56.7;6.447221623821122;44.3;8.90754985641082;12.4;4.623610902506587;10418.0;38.157568056677825
500.0;27.0;10.0;0.06225;0.0022867978582385554;0.11968999999999999;0.0028061242547922447;57.9;4.748099034818508;44.4;5.037636129950016;13.5;5.400617248673217;10431.5;38.006578377959784
500.0;28.0;10.0;0.06304;0.0021422729362369623;0.11749;0.002830567277262831;59.1;5.3218626647276635;46.5;6.553201083779166;12.6;3.8355066303046734;10444.1;39.80912793150167
500.0;29.0;10.0;0.06397;0.0022090973521126495;0.1162;0.0027664658561661897;59.8;4.984420171338332;48.0;5.456901847914967;11.8;3.4896672875473067;10455.9;41.500870138133514
500.0;30.0;10.0;0.06472;0.0020836933022347058;0.11408;0.002257235280406346;59.7;5.793674711844519;46.0;9.055385138137417;13.7;5.012207320355197;10469.6;44.739244517537394
500.0;31.0;10.0;0.06557;0.0022281282628151284;0.11246;0.0023547587750954216;62.2;6.511528238439882;51.1;8.698020208964541;11.1;4.0124805295477755;10480.7;43.30781299796455
500.0;32.0;10.0;0.06637;0.002292524082025457;0.11103;0.0023907460481336507;62.9;6.935416353759881;50.2;7.699927849589819;12.7;3.497618237219913;10493.4;43.60988674855992
500.0;33.0;10.0;0.06721;0.002329735321161326;0.11001;0.0026681037794242138;63.7;7.394442357458592;51.5;9.834745661287954;12.2;4.962078417580906;10505.6;46.89989339007073
500.0;34.0;10.0;0.06795;0.002258932884743984;0.10905;0.002585966400056702;63.8;8.323994767471259;50.5;11.806307165616559;13.3;5.926400443964466;10518.9;46.86493595666404
500.0;35.0;10.0;0.06875;0.0023386843404881404;0.10785;0.002760535374806047;64.6;8.896940797575061;52.3;11.294541454466696;12.3;5.926400443964466;10531.2;51.916171747239694
500.0;36.0;10.0;0.06954;0.0023152633639490017;0.10682;0.002776408551428347;66.1;8.292566952799758;56.3;8.246884933786278;9.8;5.553777493242275;10541.0;51.21197776562302
500.0;37.0;10.0;0.07029;0.0024291973983190406;0.10574;0.002451394161152656;65.1;9.109823757290197;55.9;11.892574714221194;9.2;5.181162460726786;10550.2;53.87598929228328
500.0;38.0;10.0;0.07138;0.002517847405137084;0.10521;0.002733922700687301;66.0;8.576453553512405;55.9;7.44535649471087;10.1;4.254409477236529;10560.3;55.95245997968077
500.0;39.0;10.0;0.07205;0.0023712397132676756;0.10449;0.0026900846744211527;66.6;8.553102101317133;55.9;10.70254383053134;10.7;5.716448003592596;10571.0;57.95208748996402
500.0;40.0;10.0;0.07297;0.0023837645297582013;0.10389;0.002691736325208033;66.8;8.148619514985345;56.4;8.959166627910582;10.4;6.363087999461338;10581.4;58.36894151287424
500.0;41.0;10.0;0.07385;0.002384789764784773;0.10318;0.0025853433040894202;67.7;7.36432843736164;58.9;6.740425308044985;8.8;5.072803301265814;10590.2;61.392724867582366
500.0;42.0;10.0;0.07487;0.002493123877120161;0.10248;0.002613554412417437;68.7;8.433399209228876;60.0;11.595018087284057;8.7;5.143496432929215;10598.9;63.96605002308299
500.0;43.0;10.0;0.07583;0.0024675899173079788;0.10198;0.002607169601950232;68.6;8.342661445845684;57.1;7.8662429264406635;11.5;4.249182927993988;10610.4;66.40147254056612
500.0;44.0;10.0;0.07662;0.002471526743623149;0.10156;0.002606061310782145;69.3;9.933668898135158;59.8;11.50651989091402;9.5;4.143267631552018;10619.9;66.66741666244796
500.0;45.0;10.0;0.07759;0.0026185025406815165;0.101;0.002771682200798321;70.3;9.310090105781887;61.8;9.04064894425911;8.5;5.7397251192408545;10628.4;67.40787952622618
500.0;46.0;10.0;0.07857;0.0026166348193391027;0.10062;0.0024252376744924972;69.9;8.672433978480962;57.9;7.27934673503666;12.0;4.714045207910317;10640.4;70.77224817053018
500.0;47.0;10.0;0.07954;0.0026454153213100995;0.10027;0.0025906026754834925;71.1;7.781031065639337;62.4;8.315981935740094;8.7;6.111010100175293;10649.1;72.85365849122167
500.0;48.0;10.0;0.08061;0.002872648797035778;0.09972;0.0023883048381645087;71.3;8.152027695951208;61.1;8.621033709609435;10.2;4.366539438350084;10659.3;73.533136899103
500.0;49.0;10.0;0.08158;0.0029362863923292257;0.09976;0.002359472634109393;70.2;8.841819822738856;63.4;9.559172442098625;6.8;5.181162460726786;10666.1;75.75464782220736
500.0;50.0;10.0;0.08247;0.002833156857249133;0.09914;0.002497198430241376;71.8;9.271221901969318;64.7;9.809858986414296;7.1;4.998888765404656;10673.2;76.35269041319587
